state,county,beneficiaries_with_part_a_and_part_b,ffs_beneficiaries,ma_beneficiaries,ma_participation_rate,average_age,percent_female,percent_male,percent_non-hispanic_white,percent_african_american,percent_hispanic,percent_other/unknown,percent_eligible_for_medicaid
AK,Aleutians East,110,110,0,0.0,72,44.55,55.45,0.0,0.0,0.0,0.0,19.09
AK,Aleutians West,0,142,0,0.0,70,50.0,50.0,0.0,0.0,0.0,0.0,23.24
AK,Anchorage,"30,394","30,037",357,1.17,70,52.69,47.31,70.97,5.28,4.22,19.53,23.92
AK,Bethel,0,"1,140",0,0.0,71,49.87,50.13,0.0,0.0,0.0,0.0,58.51
AK,Bristol Bay,103,103,0,0.0,74,46.6,53.4,48.54,0.0,0.0,51.46,17.48
AK,Denali,0,195,0,0.0,70,38.46,61.54,0.0,0.0,0.0,0.0,9.23
AK,Dillingham,0,370,0,0.0,71,43.78,56.22,0.0,0.0,0.0,0.0,52.97
AK,Fairbanks North Star,"9,181","9,080",101,1.1,70,49.09,50.91,81.35,2.81,1.82,14.02,18.19
AK,Haines,0,502,0,0.0,72,49.8,50.2,0.0,0.0,0.0,0.0,17.73
AK,Hoonah-Angoon,0,257,0,0.0,68,43.97,56.03,0.0,0.0,0.0,0.0,24.9
AK,Juneau,"4,054","4,018",36,0.89,70,50.45,49.55,74.74,0.95,2.54,21.78,21.13
AK,Kenai Peninsula,"9,602","9,477",125,1.3,70,48.69,51.31,89.0,0.34,1.18,9.48,18.06
AK,Ketchikan Gateway,"2,084","2,061",23,1.1,71,49.3,50.7,0.0,0.0,0.0,0.0,21.25
AK,Kodiak Island,"1,294","1,280",14,1.08,71,50.16,49.84,0.0,0.0,0.0,0.0,21.95
AK,Lake and Peninsula,144,144,0,0.0,71,47.22,52.78,20.14,0.0,0.0,79.86,47.92
AK,Matanuska-Susitna,"11,291","11,146",145,1.28,70,50.03,49.97,90.1,1.0,1.37,7.52,20.83
AK,Nome,0,680,0,0.0,70,43.38,56.62,0.0,0.0,0.0,0.0,46.03
AK,North Slope,0,398,0,0.0,69,49.75,50.25,0.0,0.0,0.0,0.0,21.36
AK,Northwest Arctic,434,434,0,0.0,72,48.85,51.15,9.22,0.0,0.0,90.78,52.3
AK,Petersburg,0,659,0,0.0,72,47.8,52.2,0.0,0.0,0.0,0.0,19.42
AK,Prince of Wales-Hyder,0,796,0,0.0,70,42.34,57.66,0.0,0.0,0.0,0.0,30.65
AK,Sitka,"1,191","1,177",14,1.18,71,50.89,49.11,0.0,0.0,0.0,0.0,17.33
AK,Skagway,0,276,0,0.0,73,46.74,53.26,0.0,0.0,0.0,0.0,16.3
AK,Southeast Fairbanks,"1,010",995,15,1.49,71,46.13,53.87,0.0,0.0,0.0,0.0,20.5
AK,UNKNOWN,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,Valdez-Cordova,"1,169","1,150",19,1.63,71,46.0,54.0,0.0,0.0,0.0,0.0,18.17
AK,Wade Hampton,454,454,0,0.0,71,50.0,50.0,0.0,0.0,0.0,0.0,69.16
AK,Wrangell,0,428,0,0.0,73,47.66,52.34,0.0,0.0,0.0,0.0,20.09
AK,Yakutat,94,94,0,0.0,72,42.55,57.45,47.87,0.0,0.0,52.13,23.4
AK,Yukon-Koyukuk,0,662,0,0.0,72,45.92,54.08,0.0,0.0,0.0,0.0,43.2
AL,Autauga,"9,917","6,332","3,585",36.15,70,55.61,44.39,85.53,12.21,0.71,1.55,11.7
AL,Baldwin,"45,314","28,843","16,471",36.35,72,54.08,45.92,92.62,4.79,0.96,1.63,8.47
AL,Barbour,"6,015","4,584","1,431",23.79,69,56.48,43.52,0.0,0.0,0.0,0.0,31.2
AL,Bibb,"4,668","2,687","1,981",42.44,68,53.93,46.07,0.0,0.0,0.0,0.0,23.67
AL,Blount,"11,750","6,560","5,190",44.17,70,54.19,45.81,96.66,1.1,1.48,0.76,15.63
AL,Bullock,"1,896","1,308",588,31.01,69,55.05,44.95,0.0,0.0,0.0,0.0,34.17
AL,Butler,"4,597","4,007",590,12.83,70,56.9,43.1,0.0,0.0,0.0,0.0,32.64
AL,Calhoun,"25,496","20,639","4,857",19.05,70,56.8,43.2,82.93,14.79,0.63,1.66,20.56
AL,Chambers,"8,447","6,769","1,678",19.87,69,56.06,43.94,64.74,34.19,0.25,0.83,27.23
AL,Cherokee,"6,745","4,890","1,855",27.5,69,53.25,46.75,95.11,3.54,0.33,1.02,23.44
AL,Chilton,"8,705","4,423","4,282",49.19,70,54.51,45.49,91.34,7.33,0.61,0.72,16.12
AL,Choctaw,"3,749","3,355",394,10.51,69,54.69,45.31,0.0,0.0,0.0,0.0,29.21
AL,Clarke,"6,075","4,377","1,698",27.95,69,55.36,44.64,0.0,0.0,0.0,0.0,26.39
AL,Clay,"3,498","2,917",581,16.61,69,56.36,43.64,85.64,12.96,0.75,0.65,28.35
AL,Cleburne,"3,300","2,786",514,15.58,70,53.34,46.66,94.9,3.63,0.57,0.9,25.13
AL,Coffee,"9,937","8,819","1,118",11.25,70,55.52,44.48,80.78,15.87,1.52,1.83,22.09
AL,Colbert,"13,275","11,201","2,074",15.62,70,56.14,43.86,83.5,15.12,0.31,1.06,21.9
AL,Conecuh,"3,416","2,937",479,14.02,68,53.86,46.14,0.0,0.0,0.0,0.0,32.99
AL,Coosa,"2,463","2,058",405,16.44,68,52.77,47.23,0.0,0.0,0.0,0.0,26.63
AL,Covington,"9,305","8,286","1,019",10.95,70,56.08,43.92,88.69,10.28,0.35,0.68,27.7
AL,Crenshaw,"3,359","2,571",788,23.46,70,55.15,44.85,0.0,0.0,0.0,0.0,28.35
AL,Cullman,"18,491","13,700","4,791",25.91,71,55.55,44.45,98.29,0.43,0.41,0.87,21.2
AL,Dale,"9,763","8,554","1,209",12.38,69,55.41,44.59,78.9,17.89,1.4,1.81,25.43
AL,Dallas,"9,389","6,845","2,544",27.1,68,55.73,44.27,39.66,59.25,0.18,0.91,40.22
AL,DeKalb,"14,706","11,343","3,363",22.87,69,54.64,45.36,96.98,1.32,0.96,0.73,25.51
AL,Elmore,"15,185","10,477","4,708",31.0,71,54.61,45.39,87.72,10.24,0.42,1.62,11.34
AL,Escambia,"8,378","6,337","2,041",24.36,70,55.97,44.03,72.89,23.59,0.32,3.2,22.06
AL,Etowah,"24,285","16,957","7,328",30.18,69,56.48,43.52,86.98,11.54,0.52,0.96,25.56
AL,Fayette,"4,673","3,951",722,15.45,69,54.82,45.18,88.38,10.28,0.48,0.86,26.27
AL,Franklin,"6,536","5,894",642,9.82,70,55.84,44.16,93.84,4.19,1.24,0.73,28.49
AL,Geneva,"6,562","5,762",800,12.19,70,54.1,45.9,88.96,9.34,0.94,0.76,29.69
AL,Greene,"2,137","1,924",213,9.97,67,54.94,45.06,0.0,0.0,0.0,0.0,39.14
AL,Hale,"3,770","3,431",339,8.99,66,56.16,43.84,0.0,0.0,0.0,0.0,37.66
AL,Henry,"4,394","3,268","1,126",25.63,70,55.81,44.19,71.91,26.74,0.49,0.86,25.73
AL,Houston,"21,705","17,701","4,004",18.45,70,57.26,42.74,76.83,21.13,0.86,1.19,25.71
AL,Jackson,"12,339","9,922","2,417",19.59,70,55.2,44.8,96.03,2.88,0.36,0.73,21.97
AL,Jefferson,"119,506","63,393","56,113",46.95,70,57.1,42.9,65.83,32.03,0.48,1.66,14.39
AL,Lamar,"3,791","3,477",314,8.28,69,54.27,45.73,0.0,0.0,0.0,0.0,28.42
AL,Lauderdale,"20,731","17,309","3,422",16.51,71,56.26,43.74,90.62,7.98,0.39,1.01,19.63
AL,Lawrence,"7,505","6,295","1,210",16.12,69,53.74,46.26,86.72,12.44,0.24,0.6,22.95
AL,Lee,"20,329","16,700","3,629",17.85,69,54.78,45.22,73.01,24.49,0.75,1.75,17.88
AL,Limestone,"15,752","12,249","3,503",22.24,71,55.46,44.54,88.24,9.53,0.82,1.41,17.5
AL,Lowndes,"2,654","1,502","1,152",43.41,68,52.86,47.14,39.35,59.79,0.0,0.87,29.69
AL,Macon,"4,041","2,852","1,189",29.42,69,55.96,44.04,0.0,0.0,0.0,0.0,23.49
